,Cycle,C3,C4,C5,C7,C8,C9,D3,D4,D5,D7,D8,D9,E3,E4,E5,E7,E8,E9,F3,F4,F5,F7,F8,F9
,44,2881.99199814311,2819.92672060022,2804.13545811507,2916.75272402569,2837.02569843149,2911.48680800868,2828.50077894085,2892.48892027624,3157.7366258995,2875.41679399872,2899.41954483819,3058.34473399178,2891.40858840916,2868.58931406151,3055.61816810163,2947.00528973185,2957.42701842054,3060.91847471869,2967.44093228847,2950.6057630427,3098.41752007412,3070.28580891423,3031.51840520088,3067.32369131779
,45,2877.18842519284,2821.85952321087,2790.53225085907,2912.68825825461,2842.53812085046,2965.86145470416,2831.84666399462,2891.77622239055,3185.29018766,2875.62176221625,2901.31905356047,3125.97112829465,2894.62904242947,2871.42138231891,3078.78016926005,2950.17108872367,2961.4368838146,3042.24626980392,2967.66993455424,2947.15985941485,3105.84610504551,3072.36815644381,3036.71052216883,3071.14643114437
,46,2872.76702504582,2820.50073904623,2779.07792966475,2916.10330593278,2838.61023286606,3002.4680091586,2829.77485701437,2896.22315694322,3188.6138101976,2875.8080624745,2900.96831028554,3184.67644550026,2892.13085511784,2876.19635571392,3120.7594247139,2945.91658386475,2972.42525706563,3024.47433702904,2970.40124703044,2955.54467997824,3114.40009295243,3068.73071106879,3048.47701155623,3079.45800394064
,47,2860.8417415113,2819.92282041965,2767.56272910525,2916.1125510613,2841.19345287958,3011.17287381522,2832.83136012365,2895.18239090776,3174.24267564627,2877.08519113845,2904.74387253484,3220.47204428064,2894.91320646517,2883.27419892938,3181.32456911614,2949.37461201492,2980.85129391098,2999.1279411762,2970.21891468928,2962.09412061716,3121.72211037724,3072.24608067681,3062.14885594678,3088.54527134147
,48,2861.03402735232,2819.93890919286,2766.25226149109,2913.52790895828,2835.65193798152,2994.67034921946,2831.0037123713,2901.85863102252,3153.62858049689,2874.39624037064,2907.97667610051,3225.26304728673,2897.08484231861,2895.88050397876,3247.49991958112,2951.8710026038,2991.51426422141,2984.76164763291,2972.52926808176,2972.97126627729,3133.23200924939,3073.77665631582,3073.98857954886,3096.22766624968
,49,2857.23164864503,2820.0193267314,2756.36492339659,2916.93710523296,2838.37291147951,2972.13264144037,2834.45548074578,2906.4869526601,3121.49479010216,2872.8292010207,2914.89823312306,3215.385716906,2892.98080519464,2907.57417775731,3313.39928298992,2948.72490144498,2999.34942505476,2969.75934766043,2970.61245692542,2982.77767912195,3149.97517484416,3072.2644815788,3083.12693199871,3113.86215598714
,50,2856.95678576119,2820.4900711138,2754.51982651739,2917.66937983041,2837.07777770139,2952.4830101225,2830.86782912094,2917.16495980714,3097.30680465323,2876.47791074699,2917.80405876495,3186.89499310278,2900.3933970222,2917.35178513836,3364.32416682346,2954.32749922344,3010.42291373802,2952.99690129759,2975.53904697315,2994.33533079806,3173.82130978385,3073.33235171254,3104.46356550968,3143.07506457594
,51,2853.9527021472,2819.69282794583,2748.85650829647,2913.82208412655,2838.7015919212,2928.80860556802,2828.2065488754,2919.88991271947,3067.91951515,2872.18351271107,2925.96454256082,3162.22366762785,2895.11178143558,2923.08976998618,3392.559384171,2963.22409643146,3023.52836556145,2936.5834975873,2972.60695523061,3003.50836846315,3208.53500695342,3073.18685389249,3110.50506545238,3177.71476069936
,52,2852.6438386569,2822.237047688,2743.73241338862,2918.45860641512,2836.71995370575,2909.79467292156,2832.09744920952,2933.88626152594,3037.50173451523,2872.61798532873,2932.07019177868,3130.52136149915,2893.45237225807,2934.66806015789,3406.68648153733,2966.2761484449,3030.14062166963,2922.78779973759,2979.81888181456,3020.81640403341,3262.5119813009,3080.95661327388,3118.87610014355,3232.52170512713
,53,2846.94860777634,2824.96474856893,2745.82201022845,2915.47658774295,2836.3766925978,2892.02691085976,2829.4470560822,2946.32806088062,3017.85531672249,2876.15009506494,2943.41515905007,3104.38492596195,2899.00087776203,2935.98589585564,3405.32877870091,2974.99681873448,3034.31508685887,2906.07256557453,2978.88932193976,3027.53174760254,3326.19222477658,3078.30612933775,3128.71384131075,3295.24885264015
,54,2842.48547751437,2820.3202957333,2741.81806285927,2917.87887906003,2837.35422910134,2872.99993120037,2829.34831275063,2955.25849592752,2993.83265065421,2878.50385227253,2957.42014143879,3070.73562670589,2901.17237882336,2946.51525367059,3392.45811015804,2981.04590117098,3040.99554843349,2894.42536797099,2980.75481062146,3039.94085882113,3385.74341663724,3080.7573471399,3130.35354659706,3353.44277417394
,55,2841.11346621126,2824.48274547165,2738.83188208591,2916.8736206683,2838.55778229558,2862.7465247466,2831.55112192534,2961.76938142826,2975.87013728011,2879.49152134972,2961.32233674341,3051.40881375252,2903.12582735255,2951.34713583861,3368.495813914,2992.44129421405,3052.45231124614,2883.08256235949,2983.16997624471,3046.5033607619,3456.28216482362,3090.07724098578,3142.31525872608,3416.24482207996
